Name,Betweenness Centrality (BC),Degree,Ranking by BC,Label
starPep_11696,0,1,2661,Peptide
starPep_11693,0,1,2660,Peptide
starPep_11692,0,1,2659,Peptide
starPep_11687,0,1,2658,Peptide
starPep_11674,0,1,2657,Peptide
starPep_11651,0,1,2656,Peptide
starPep_11650,0,1,2655,Peptide
starPep_11645,0,1,2654,Peptide
starPep_11640,0,1,2653,Peptide
starPep_11639,0,1,2652,Peptide
starPep_11638,0,1,2651,Peptide
starPep_11636,0,1,2650,Peptide
starPep_11633,0,1,2649,Peptide
starPep_11632,0,1,2648,Peptide
starPep_11627,0,1,2647,Peptide
starPep_11626,0,1,2646,Peptide
starPep_11625,0,1,2645,Peptide
starPep_11610,0,1,2644,Peptide
starPep_11599,0,1,2643,Peptide
starPep_11598,0,1,2642,Peptide
starPep_11592,0,1,2641,Peptide
starPep_11573,0,1,2640,Peptide
starPep_11570,0,1,2639,Peptide
starPep_11568,0,1,2638,Peptide
starPep_11564,0,1,2637,Peptide
starPep_11554,0,1,2636,Peptide
starPep_11549,0,1,2635,Peptide
starPep_11540,0,1,2634,Peptide
starPep_11539,0,1,2633,Peptide
starPep_11537,0,1,2632,Peptide
starPep_11536,0,1,2631,Peptide
starPep_11535,0,1,2630,Peptide
starPep_11520,0,1,2629,Peptide
starPep_11494,0,0,2628,Peptide
starPep_11493,0,0,2627,Peptide
starPep_11492,0,0,2626,Peptide
starPep_11491,0,0,2625,Peptide
starPep_11428,0,0,2624,Peptide
starPep_11427,0,0,2623,Peptide
starPep_11404,0,0,2622,Peptide
starPep_11319,0,0,2621,Peptide
starPep_11310,0,0,2620,Peptide
starPep_11308,0,0,2619,Peptide
starPep_11307,0,0,2618,Peptide
starPep_11305,0,0,2617,Peptide
starPep_11288,0,0,2616,Peptide
starPep_11262,0,0,2615,Peptide
starPep_11255,0,0,2614,Peptide
starPep_11254,0,0,2613,Peptide
starPep_11250,0,0,2612,Peptide
starPep_11249,0,0,2611,Peptide
starPep_11245,0,0,2610,Peptide
starPep_11244,0,0,2609,Peptide
starPep_11235,0,0,2608,Peptide
starPep_11216,0,0,2607,Peptide
starPep_11202,0,0,2606,Peptide
starPep_11195,0,0,2605,Peptide
starPep_11194,0,0,2604,Peptide
starPep_11193,0,0,2603,Peptide
starPep_11191,0,0,2602,Peptide
starPep_11190,0,0,2601,Peptide
starPep_11189,0,0,2600,Peptide
starPep_11188,0,0,2599,Peptide
starPep_11187,0,0,2598,Peptide
starPep_11186,0,0,2597,Peptide
starPep_11183,0,0,2596,Peptide
starPep_11182,0,0,2595,Peptide
starPep_11171,0,0,2594,Peptide
starPep_11143,0,0,2593,Peptide
starPep_11098,0,0,2592,Peptide
starPep_11097,0,0,2591,Peptide
starPep_11087,0,0,2590,Peptide
starPep_11086,0,0,2589,Peptide
starPep_11085,0,0,2588,Peptide
starPep_11084,0,0,2587,Peptide
starPep_11083,0,0,2586,Peptide
starPep_11082,0,0,2585,Peptide
starPep_11081,0,0,2584,Peptide
starPep_11080,0,0,2583,Peptide
starPep_11079,0,0,2582,Peptide
starPep_11078,0,0,2581,Peptide
starPep_11077,0,0,2580,Peptide
starPep_11076,0,0,2579,Peptide
starPep_11075,0,0,2578,Peptide
starPep_11074,0,0,2577,Peptide
starPep_11073,0,0,2576,Peptide
starPep_11071,0,0,2575,Peptide
starPep_11054,0,0,2574,Peptide
starPep_11053,0,0,2573,Peptide
starPep_11018,0,0,2572,Peptide
starPep_10931,0,0,2571,Peptide
starPep_10919,0,0,2570,Peptide
starPep_10900,0,0,2569,Peptide
starPep_10858,0,0,2568,Peptide
starPep_10857,0,0,2567,Peptide
starPep_10852,0,0,2566,Peptide
starPep_10851,0,0,2565,Peptide
starPep_10850,0,0,2564,Peptide
starPep_10845,0,0,2563,Peptide
starPep_10844,0,0,2562,Peptide
starPep_10802,0,0,2561,Peptide
starPep_10618,0,0,2560,Peptide
