"Name","Label","Ranking by BC","Betweenness Centrality (BC)","Degree"
"starPep_05767","Peptide","1389","1.5139620525036566","6"
"starPep_05783","Peptide","782","4.55198937169446","5"
"starPep_05789","Peptide","1390","1.5139620525036566","6"
"starPep_05794","Peptide","1391","1.5139620525036566","6"
"starPep_05804","Peptide","1392","1.5139620525036566","6"
"starPep_05810","Peptide","1278","1.8267432539405553","7"
"starPep_05819","Peptide","1279","1.8267432539405553","7"
"starPep_05837","Peptide","1012","2.9810351989980006","7"
"starPep_05843","Peptide","1280","1.8267432539405553","7"
"starPep_05844","Peptide","1281","1.8267432539405553","7"
"starPep_05845","Peptide","1393","1.5139620525036566","6"
"starPep_05846","Peptide","1394","1.5139620525036566","6"
"starPep_05847","Peptide","1322","1.7999623892852419","5"
"starPep_05848","Peptide","1323","1.7999623892852419","5"
"starPep_05849","Peptide","793","3.6252029114669835","4"
"starPep_05850","Peptide","1084","2.6013673189454445","7"
"starPep_05855","Peptide","794","3.6252029114669835","4"
"starPep_05859","Peptide","1395","1.5139620525036566","6"
"starPep_05861","Peptide","1516","1.413941385957278","6"
"starPep_05869","Peptide","1517","1.413941385957278","6"
"starPep_05880","Peptide","1013","2.9810351989980006","7"
"starPep_05882","Peptide","1014","2.9810351989980006","7"
"starPep_05942","Peptide","417","23.86527341880882","7"
"starPep_05960","Peptide","1396","1.5139620525036566","6"
"starPep_05961","Peptide","1397","1.5139620525036566","6"
"starPep_05962","Peptide","1398","1.5139620525036566","6"
"starPep_05963","Peptide","276","40.67691130507018","7"
"starPep_05974","Peptide","907","3.4265779441737485","8"
"starPep_05975","Peptide","130","117.27915692642796","9"
"starPep_05976","Peptide","131","117.27915692642796","9"
"starPep_05977","Peptide","132","117.27915692642796","9"
"starPep_05978","Peptide","133","117.27915692642796","9"
"starPep_05979","Peptide","152","105.40876767410138","8"
"starPep_05980","Peptide","134","117.27915692642796","9"
"starPep_05981","Peptide","178","73.89005532250741","6"
"starPep_05982","Peptide","179","73.89005532250741","6"
"starPep_05983","Peptide","180","73.89005532250741","6"
"starPep_05984","Peptide","181","73.89005532250741","6"
"starPep_05985","Peptide","182","73.89005532250741","6"
"starPep_05993","Peptide","135","117.27915692642796","9"
"starPep_06030","Peptide","1015","2.9810351989980006","7"
"starPep_06031","Peptide","1282","1.8267432539405553","7"
"starPep_06032","Peptide","1283","1.8267432539405553","7"
"starPep_06033","Peptide","1284","1.8267432539405553","7"
"starPep_06034","Peptide","1285","1.8267432539405553","7"
