"Name","Label","Betweenness Centrality (BC)","Ranking by BC","Degree"
"starPep_06590","Peptide","310.6909551669547","1109","10"
"starPep_06600","Peptide","99.93315232231657","1695","3"
"starPep_06601","Peptide","310.6909551669547","1110","10"
"starPep_06603","Peptide","104.55102122102976","1688","5"
"starPep_06604","Peptide","104.55102122102976","1689","5"
"starPep_06605","Peptide","173.54758996334675","1348","7"
"starPep_06615","Peptide","168.97493213880713","1406","7"
"starPep_06616","Peptide","168.97493213880713","1407","7"
"starPep_06617","Peptide","168.97493213880713","1408","7"
"starPep_06618","Peptide","168.97493213880713","1409","7"
"starPep_06619","Peptide","1028.4525601636865","767","9"
"starPep_06620","Peptide","43.15589678510046","1859","3"
"starPep_06621","Peptide","437.14804813877726","1000","8"
"starPep_06622","Peptide","104.80863900333773","1681","4"
"starPep_06624","Peptide","1000.8374396490973","770","15"
"starPep_06625","Peptide","1000.8374396490973","771","15"
"starPep_06627","Peptide","43.15589678510046","1860","3"
"starPep_06628","Peptide","43.15589678510046","1861","3"
"starPep_06629","Peptide","43.15589678510046","1862","3"
"starPep_06639","Peptide","173.54758996334675","1349","7"
"starPep_06641","Peptide","173.54758996334675","1350","7"
"starPep_06642","Peptide","173.54758996334675","1351","7"
"starPep_06643","Peptide","173.54758996334675","1352","7"
"starPep_06644","Peptide","173.54758996334675","1353","7"
"starPep_06645","Peptide","173.54758996334675","1354","7"
"starPep_06646","Peptide","173.54758996334675","1355","7"
"starPep_06647","Peptide","173.54758996334675","1356","7"
"starPep_06648","Peptide","173.54758996334675","1357","7"
"starPep_06649","Peptide","173.54758996334675","1358","7"
"starPep_06650","Peptide","173.54758996334675","1359","7"
"starPep_06651","Peptide","173.54758996334675","1360","7"
"starPep_06652","Peptide","173.54758996334675","1361","7"
"starPep_06653","Peptide","173.54758996334675","1362","7"
"starPep_06654","Peptide","173.54758996334675","1363","7"
"starPep_06655","Peptide","301.36051391226704","1133","5"
"starPep_06686","Peptide","2346.1283014078554","603","7"
"starPep_06687","Peptide","2346.1283014078554","604","7"
